name,year,month,par
Sundarbans,2015,1,207.29542470964023
Sundarbans,2015,2,233.27257340739305
Sundarbans,2015,3,312.6513828633491
Sundarbans,2015,4,274.3439075732728
Sundarbans,2015,5,309.2656117462841
Sundarbans,2015,6,204.9559104499537
Sundarbans,2015,7,157.35080106930593
Sundarbans,2015,8,203.92953752027842
Sundarbans,2015,9,191.0931791322042
Sundarbans,2015,10,205.9671394082406
Sundarbans,2015,11,210.0321005623204
Sundarbans,2015,12,163.20165634164636
Sundarbans,2016,1,196.66495460336537
Sundarbans,2016,2,198.9858283141983
Sundarbans,2016,3,275.9450048150729
Sundarbans,2016,4,297.04638873299143
Sundarbans,2016,5,293.61723929421487
Sundarbans,2016,6,248.67129737011012
Sundarbans,2016,7,169.46903849236335
Sundarbans,2016,8,206.30670842100463
Sundarbans,2016,9,205.4914937686404
Sundarbans,2016,10,214.64584847450212
Sundarbans,2016,11,206.77158068920866
Sundarbans,2016,12,207.86440653193853
Sundarbans,2017,1,227.2540182851209
Sundarbans,2017,2,227.17272894572346
Sundarbans,2017,3,258.85499498336236
Sundarbans,2017,4,272.82066835925747
Sundarbans,2017,5,323.03303774851673
Sundarbans,2017,6,222.8139197612319
Sundarbans,2017,7,161.0462386377198
Sundarbans,2017,8,196.19685292301435
Sundarbans,2017,9,175.05192926532422
Sundarbans,2017,10,188.55336717571458
Sundarbans,2017,11,211.57554086879082
Sundarbans,2017,12,191.02599685043106
Sundarbans,2018,1,219.478497046245
Sundarbans,2018,2,224.05991125339668
Sundarbans,2018,3,285.11864895370957
Sundarbans,2018,4,297.2616534691976
Sundarbans,2018,5,291.95702368170333
Sundarbans,2018,6,217.2463757896033
Sundarbans,2018,7,205.17080760271992
Sundarbans,2018,8,226.59883615160675
Sundarbans,2018,9,203.18413444378686
Sundarbans,2018,10,213.0366467805345
Sundarbans,2018,11,202.23790721780458
Sundarbans,2018,12,191.64420725320966
Sundarbans,2019,1,223.50252167681435
Sundarbans,2019,2,221.56301578481805
Sundarbans,2019,3,289.0296345549921
Sundarbans,2019,4,313.5772714944927
Sundarbans,2019,5,308.3570578178011
Sundarbans,2019,6,237.75797761130227
Sundarbans,2019,7,206.19985341222653
Sundarbans,2019,8,206.13732652524524
Sundarbans,2019,9,200.6303647749321
Sundarbans,2019,10,212.95365084113217
Sundarbans,2019,11,203.5088209686669
Sundarbans,2019,12,189.6692236722475
Everglades,2015,1,162.5345270955702
Everglades,2015,2,174.54070928979363
Everglades,2015,3,252.79492926093937
Everglades,2015,4,257.3273777351147
Everglades,2015,5,303.8864731964503
Everglades,2015,6,250.79405783934203
Everglades,2015,7,264.1098882238203
Everglades,2015,8,240.7478138080155
Everglades,2015,9,195.64055224210964
Everglades,2015,10,196.60710135269056
Everglades,2015,11,155.4695822513936
Everglades,2015,12,132.18558226714245
Everglades,2016,1,124.26420442238502
Everglades,2016,2,186.07509643417265
Everglades,2016,3,215.78586643159426
Everglades,2016,4,252.49408511023978
Everglades,2016,5,269.69523627228676
Everglades,2016,6,250.19292792174238
Everglades,2016,7,272.0600345616616
Everglades,2016,8,243.46305225313662
Everglades,2016,9,213.92322896378656
Everglades,2016,10,177.61150142681947
Everglades,2016,11,165.1449919182811
Everglades,2016,12,146.92123594062178
Everglades,2017,1,161.95797249815305
Everglades,2017,2,185.55390260384007
Everglades,2017,3,246.5025425739372
Everglades,2017,4,239.72473971810862
Everglades,2017,5,306.6735589153547
Everglades,2017,6,227.20967949566935
Everglades,2017,7,234.56537831673023
Everglades,2017,8,271.5155973369822
Everglades,2017,9,222.96189226953774
Everglades,2017,10,185.68972995338316
Everglades,2017,11,170.51369903104236
Everglades,2017,12,165.84579401877951
Everglades,2018,1,154.2653133433159
Everglades,2018,2,172.0560222874281
Everglades,2018,3,259.63666121949933
Everglades,2018,4,288.14919817737245
Everglades,2018,5,213.58230722507258
Everglades,2018,6,253.2426055802309
Everglades,2018,7,241.58408902515376
Everglades,2018,8,257.68185148509417
Everglades,2018,9,223.86062498502844
Everglades,2018,10,208.23019649314028
Everglades,2018,11,165.56826971987354
Everglades,2018,12,160.70895190152365
Everglades,2019,1,163.61159426111328
Everglades,2019,2,175.021784019215
Everglades,2019,3,242.01722343322064
Everglades,2019,4,279.0035250428383
Everglades,2019,5,285.9527313249191
Everglades,2019,6,272.62338449906974
Everglades,2019,7,266.81114613912194
Everglades,2019,8,218.7656764319572
Everglades,2019,9,233.76718140811826
Everglades,2019,10,197.81190098870192
Everglades,2019,11,170.187551798962
Everglades,2019,12,131.20128527101141
Cairns,2015,1,223.87004954462785
Cairns,2015,2,208.0145488280543
Cairns,2015,3,228.47991979566442
Cairns,2015,4,210.3432573639898
Cairns,2015,5,188.93546571478097
Cairns,2015,6,149.36125760473965
Cairns,2015,7,182.56926589186267
Cairns,2015,8,226.83581887638192
Cairns,2015,9,249.1103084252044
Cairns,2015,10,253.13231745748493
Cairns,2015,11,260.80965879964674
Cairns,2015,12,204.04569518486488
Cairns,2016,1,263.73308117721734
Cairns,2016,2,241.93799779062567
Cairns,2016,3,228.88231459251668
Cairns,2016,4,195.43570345742972
Cairns,2016,5,171.0573241557868
Cairns,2016,6,155.31479344661278
Cairns,2016,7,164.09188375017752
Cairns,2016,8,199.20755520032537
Cairns,2016,9,219.5588180028717
Cairns,2016,10,259.50471671731214
Cairns,2016,11,283.5927499360834
Cairns,2016,12,271.24394753600023
Cairns,2017,1,238.30172182464761
Cairns,2017,2,194.55283208612656
Cairns,2017,3,231.20928077110392
Cairns,2017,4,185.5947769432624
Cairns,2017,5,189.804453593242
Cairns,2017,6,143.09046567396854
Cairns,2017,7,172.34445344600866
Cairns,2017,8,226.8160718216896
Cairns,2017,9,234.2702398659663
Cairns,2017,10,242.65073035055892
Cairns,2017,11,256.46745891960035
Cairns,2017,12,297.97437703113866
Cairns,2018,1,218.89334163655133
Cairns,2018,2,212.96535992872944
Cairns,2018,3,175.01633158396209
Cairns,2018,4,203.54778649225497
Cairns,2018,5,172.87559254945808
Cairns,2018,6,173.4129732342614
Cairns,2018,7,186.4425020849631
Cairns,2018,8,233.81722476738514
Cairns,2018,9,237.11178403467335
Cairns,2018,10,272.70430627788926
Cairns,2018,11,274.2600816648415
Cairns,2018,12,186.99557837691017
Cairns,2019,1,216.93839487702368
Cairns,2019,2,223.51398426489448
Cairns,2019,3,200.5614876853725
Cairns,2019,4,181.58034901592265
Cairns,2019,5,174.9101560583755
Cairns,2019,6,154.984601155967
Cairns,2019,7,189.32586446701438
Cairns,2019,8,220.11417120008852
Cairns,2019,9,262.22022457713996
Cairns,2019,10,262.4361776483643
Cairns,2019,11,289.7883775359617
Cairns,2019,12,270.12832211135174
Can Gio,2015,1,233.00183707153806
Can Gio,2015,2,262.69173583925726
Can Gio,2015,3,316.6447021136517
Can Gio,2015,4,303.25016336333533
Can Gio,2015,5,297.54611329596725
Can Gio,2015,6,254.7857507185706
Can Gio,2015,7,252.06774821338462
Can Gio,2015,8,280.3611288164732
Can Gio,2015,9,237.80548204531098
Can Gio,2015,10,246.36893418915446
Can Gio,2015,11,238.29703826219665
Can Gio,2015,12,224.81581053056706
Can Gio,2016,1,264.11014987859846
Can Gio,2016,2,257.63365007433015
Can Gio,2016,3,327.1882329228951
Can Gio,2016,4,328.25514540606076
Can Gio,2016,5,287.0498603136105
Can Gio,2016,6,250.85173478864533
Can Gio,2016,7,272.7133320027113
Can Gio,2016,8,237.92221704024206
Can Gio,2016,9,239.40213239263275
Can Gio,2016,10,185.05605090267613
Can Gio,2016,11,205.73290838277103
Can Gio,2016,12,148.21713749291294
Can Gio,2017,1,206.41004064072294
Can Gio,2017,2,230.921938379427
Can Gio,2017,3,312.87566123900893
Can Gio,2017,4,299.349340425631
Can Gio,2017,5,260.79952858364936
Can Gio,2017,6,253.9965707238402
Can Gio,2017,7,229.19102185887155
Can Gio,2017,8,251.48809061473003
Can Gio,2017,9,242.04861264630986
Can Gio,2017,10,201.7240587216516
Can Gio,2017,11,176.5201170052504
Can Gio,2017,12,205.11491793638348
Can Gio,2018,1,199.47587912275432
Can Gio,2018,2,240.83422224410054
Can Gio,2018,3,306.6914889029759
Can Gio,2018,4,318.0621131118416
Can Gio,2018,5,280.81104008887417
Can Gio,2018,6,241.7091074624037
Can Gio,2018,7,208.97370460273814
Can Gio,2018,8,238.95863973452177
Can Gio,2018,9,234.57389611648438
Can Gio,2018,10,241.640036733269
Can Gio,2018,11,211.28352727719346
Can Gio,2018,12,191.78624293453248
Can Gio,2019,1,239.2571044810948
Can Gio,2019,2,265.6445324676138
Can Gio,2019,3,310.6076651370398
Can Gio,2019,4,313.37167872902563
Can Gio,2019,5,283.0517910754707
Can Gio,2019,6,247.11436944174875
Can Gio,2019,7,247.4515445767773
Can Gio,2019,8,233.58345773924756
Can Gio,2019,9,201.95598169257045
Can Gio,2019,10,257.4875863836264
Can Gio,2019,11,209.52208108438032
Can Gio,2019,12,229.1968856928725
